Comment,Comment_Lower,Tokens,No_Punctuation,No_Stopwords,Stemmed,Lemmatized,Translated,Emoji_Text
"Wow, awesome Leila. You have left some great ideas that can be turned into others that will give the business potential and a better form of control, in order to increase the efficiency of all its collaborators. Just great.<br>Thank you very much, Leila, for sharing such valuable information.","wow, awesome leila. you have left some great ideas that can be turned into others that will give the business potential and a better form of control, in order to increase the efficiency of all its collaborators. just great.<br>thank you very much, leila, for sharing such valuable information.","['wow', ',', 'awesome', 'leila', '.', 'you', 'have', 'left', 'some', 'great', 'ideas', 'that', 'can', 'be', 'turned', 'into', 'others', 'that', 'will', 'give', 'the', 'business', 'potential', 'and', 'a', 'better', 'form', 'of', 'control', ',', 'in', 'order', 'to', 'increase', 'the', 'efficiency', 'of', 'all', 'its', 'collaborators', '.', 'just', 'great.', '<', 'br', '>', 'thank', 'you', 'very', 'much', ',', 'leila', ',', 'for', 'sharing', 'such', 'valuable', 'information', '.']","['wow', 'awesome', 'leila', 'you', 'have', 'left', 'some', 'great', 'ideas', 'that', 'can', 'be', 'turned', 'into', 'others', 'that', 'will', 'give', 'the', 'business', 'potential', 'and', 'a', 'better', 'form', 'of', 'control', 'in', 'order', 'to', 'increase', 'the', 'efficiency', 'of', 'all', 'its', 'collaborators', 'just', 'br', 'thank', 'you', 'very', 'much', 'leila', 'for', 'sharing', 'such', 'valuable', 'information']","['wow', 'awesome', 'leila', 'left', 'great', 'ideas', 'turned', 'others', 'give', 'business', 'potential', 'better', 'form', 'control', 'order', 'increase', 'efficiency', 'collaborators', 'br', 'thank', 'much', 'leila', 'sharing', 'valuable', 'information']","['wow', 'awesom', 'leila', 'left', 'great', 'idea', 'turn', 'other', 'give', 'busi', 'potenti', 'better', 'form', 'control', 'order', 'increas', 'effici', 'collabor', 'br', 'thank', 'much', 'leila', 'share', 'valuabl', 'inform']","['wow', 'awesome', 'leila', 'left', 'great', 'idea', 'turned', 'others', 'give', 'business', 'potential', 'better', 'form', 'control', 'order', 'increase', 'efficiency', 'collaborator', 'br', 'thank', 'much', 'leila', 'sharing', 'valuable', 'information']","વાહ, અદ્ભુત લીલા. તમે કેટલાક મહાન વિચારો છોડી દીધા છે જે અન્યમાં ફેરવી શકાય છે જે તેના તમામ સહયોગીઓની કાર્યક્ષમતા વધારવા માટે વ્યવસાયની સંભાવના અને નિયંત્રણનું વધુ સારું સ્વરૂપ આપશે. માત્ર મહાન.<br>આવી મૂલ્યવાન માહિતી શેર કરવા બદલ ખૂબ ખૂબ આભાર, લીલા.","Wow, awesome Leila. You have left some great ideas that can be turned into others that will give the business potential and a better form of control, in order to increase the efficiency of all its collaborators. Just great.<br>Thank you very much, Leila, for sharing such valuable information."
Thanks teacher👌👍👍 ❤❤,thanks teacher👌👍👍 ❤❤,"['thanks', 'teacher👌👍👍', '❤❤']",['thanks'],['thanks'],['thank'],['thanks'],આભાર શિક્ષક👌👍👍 ❤❤,Thanks teacher:OK_hand::thumbs_up::thumbs_up: :red_heart::red_heart:
Ma&#39;am what is advance excel is any course is available at your website.<br>Please let me know ma&#39;am.<br>Thank you.,ma&#39;am what is advance excel is any course is available at your website.<br>please let me know ma&#39;am.<br>thank you.,"['ma', '&', '#', '39', ';', 'am', 'what', 'is', 'advance', 'excel', 'is', 'any', 'course', 'is', 'available', 'at', 'your', 'website.', '<', 'br', '>', 'please', 'let', 'me', 'know', 'ma', '&', '#', '39', ';', 'am.', '<', 'br', '>', 'thank', 'you', '.']","['ma', '39', 'am', 'what', 'is', 'advance', 'excel', 'is', 'any', 'course', 'is', 'available', 'at', 'your', 'br', 'please', 'let', 'me', 'know', 'ma', '39', 'br', 'thank', 'you']","['39', 'advance', 'excel', 'course', 'available', 'br', 'please', 'let', 'know', '39', 'br', 'thank']","['39', 'advanc', 'excel', 'cours', 'avail', 'br', 'pleas', 'let', 'know', '39', 'br', 'thank']","['39', 'advance', 'excel', 'course', 'available', 'br', 'please', 'let', 'know', '39', 'br', 'thank']",મેડમ એડવાન્સ એક્સેલ શું છે તે કોઈપણ કોર્સ તમારી વેબસાઇટ પર ઉપલબ્ધ છે.<br>કૃપા કરીને મને જણાવો મેડમ.<br>આભાર.,Ma&#39;am what is advance excel is any course is available at your website.<br>Please let me know ma&#39;am.<br>Thank you.
Excel seems so easy when you teach it step by step,excel seems so easy when you teach it step by step,"['excel', 'seems', 'so', 'easy', 'when', 'you', 'teach', 'it', 'step', 'by', 'step']","['excel', 'seems', 'so', 'easy', 'when', 'you', 'teach', 'it', 'step', 'by', 'step']","['excel', 'seems', 'easy', 'teach', 'step', 'step']","['excel', 'seem', 'easi', 'teach', 'step', 'step']","['excel', 'seems', 'easy', 'teach', 'step', 'step']",જ્યારે તમે તેને પગલું દ્વારા પગલું શીખવો છો ત્યારે એક્સેલ ખૂબ સરળ લાગે છે,Excel seems so easy when you teach it step by step
Brilliant!!,brilliant!!,"['brilliant', '!', '!']",['brilliant'],['brilliant'],['brilliant'],['brilliant'],"બ્રાઝિલીઆCity name (optional, probably does not need a translation)",Brilliant!!
"This is amazing. Could you please help me out when I drag the flag into pivot table rows section. I am not getting the flag instead of that I am getting text like Image of India, Image of United States etc..","this is amazing. could you please help me out when i drag the flag into pivot table rows section. i am not getting the flag instead of that i am getting text like image of india, image of united states etc..","['this', 'is', 'amazing', '.', 'could', 'you', 'please', 'help', 'me', 'out', 'when', 'i', 'drag', 'the', 'flag', 'into', 'pivot', 'table', 'rows', 'section', '.', 'i', 'am', 'not', 'getting', 'the', 'flag', 'instead', 'of', 'that', 'i', 'am', 'getting', 'text', 'like', 'image', 'of', 'india', ',', 'image', 'of', 'united', 'states', 'etc', '..']","['this', 'is', 'amazing', 'could', 'you', 'please', 'help', 'me', 'out', 'when', 'i', 'drag', 'the', 'flag', 'into', 'pivot', 'table', 'rows', 'section', 'i', 'am', 'not', 'getting', 'the', 'flag', 'instead', 'of', 'that', 'i', 'am', 'getting', 'text', 'like', 'image', 'of', 'india', 'image', 'of', 'united', 'states', 'etc']","['amazing', 'could', 'please', 'help', 'drag', 'flag', 'pivot', 'table', 'rows', 'section', 'getting', 'flag', 'instead', 'getting', 'text', 'like', 'image', 'india', 'image', 'united', 'states', 'etc']","['amaz', 'could', 'pleas', 'help', 'drag', 'flag', 'pivot', 'tabl', 'row', 'section', 'get', 'flag', 'instead', 'get', 'text', 'like', 'imag', 'india', 'imag', 'unit', 'state', 'etc']","['amazing', 'could', 'please', 'help', 'drag', 'flag', 'pivot', 'table', 'row', 'section', 'getting', 'flag', 'instead', 'getting', 'text', 'like', 'image', 'india', 'image', 'united', 'state', 'etc']","આ અદ્ભુત છે. જ્યારે હું ધ્વજને પિવોટ ટેબલ પંક્તિઓ વિભાગમાં ખેંચું છું ત્યારે શું તમે કૃપા કરીને મને મદદ કરી શકો છો. મને ધ્વજ મળતો નથી તેના બદલે મને ભારતની છબી, યુનાઇટેડ સ્ટેટ્સની છબી વગેરે જેવા ટેક્સ્ટ મળી રહ્યા છે.","This is amazing. Could you please help me out when I drag the flag into pivot table rows section. I am not getting the flag instead of that I am getting text like Image of India, Image of United States etc.."
Absolutely cool stuff,absolutely cool stuff,"['absolutely', 'cool', 'stuff']","['absolutely', 'cool', 'stuff']","['absolutely', 'cool', 'stuff']","['absolut', 'cool', 'stuff']","['absolutely', 'cool', 'stuff']",એકદમ સરસ સામગ્રી,Absolutely cool stuff
Looks like fun,looks like fun,"['looks', 'like', 'fun']","['looks', 'like', 'fun']","['looks', 'like', 'fun']","['look', 'like', 'fun']","['look', 'like', 'fun']",મજા જેવું લાગે છે,Looks like fun
Interesting names...,interesting names...,"['interesting', 'names', '...']","['interesting', 'names']","['interesting', 'names']","['interest', 'name']","['interesting', 'name']",રસપ્રદ નામો...,Interesting names...
这功能很实用,这功能很实用,['这功能很实用'],['这功能很实用'],['这功能很实用'],['这功能很实用'],['这功能很实用'],这功能很实用,这功能很实用
In excel 365 can we have ease of updating in web browser like we love on Google sheets.,in excel 365 can we have ease of updating in web browser like we love on google sheets.,"['in', 'excel', '365', 'can', 'we', 'have', 'ease', 'of', 'updating', 'in', 'web', 'browser', 'like', 'we', 'love', 'on', 'google', 'sheets', '.']","['in', 'excel', '365', 'can', 'we', 'have', 'ease', 'of', 'updating', 'in', 'web', 'browser', 'like', 'we', 'love', 'on', 'google', 'sheets']","['excel', '365', 'ease', 'updating', 'web', 'browser', 'like', 'love', 'google', 'sheets']","['excel', '365', 'eas', 'updat', 'web', 'browser', 'like', 'love', 'googl', 'sheet']","['excel', '365', 'ease', 'updating', 'web', 'browser', 'like', 'love', 'google', 'sheet']",એક્સેલ 365 માં અમને વેબ બ્રાઉઝરમાં અપડેટ કરવાની સરળતા હોઈ શકે છે જેમ કે અમને ગૂગલ શીટ્સ પર ગમે છે.,In excel 365 can we have ease of updating in web browser like we love on Google sheets.
Leila ji plz make more videos on google sheet features.,leila ji plz make more videos on google sheet features.,"['leila', 'ji', 'plz', 'make', 'more', 'videos', 'on', 'google', 'sheet', 'features', '.']","['leila', 'ji', 'plz', 'make', 'more', 'videos', 'on', 'google', 'sheet', 'features']","['leila', 'ji', 'plz', 'make', 'videos', 'google', 'sheet', 'features']","['leila', 'ji', 'plz', 'make', 'video', 'googl', 'sheet', 'featur']","['leila', 'ji', 'plz', 'make', 'video', 'google', 'sheet', 'feature']",લીલા જી plz ગૂગલ શીટ ફીચર્સ પર વધુ વિડિઓઝ બનાવો.,Leila ji plz make more videos on google sheet features.
Magic,magic,['magic'],['magic'],['magic'],['magic'],['magic'],'જાદુ!',Magic
"I always use dynamic tables and it works fine, and I never need (pivot T), is that ok? I mean, dynamic tables do almost everything","i always use dynamic tables and it works fine, and i never need (pivot t), is that ok? i mean, dynamic tables do almost everything","['i', 'always', 'use', 'dynamic', 'tables', 'and', 'it', 'works', 'fine', ',', 'and', 'i', 'never', 'need', '(', 'pivot', 't', ')', ',', 'is', 'that', 'ok', '?', 'i', 'mean', ',', 'dynamic', 'tables', 'do', 'almost', 'everything']","['i', 'always', 'use', 'dynamic', 'tables', 'and', 'it', 'works', 'fine', 'and', 'i', 'never', 'need', 'pivot', 't', 'is', 'that', 'ok', 'i', 'mean', 'dynamic', 'tables', 'do', 'almost', 'everything']","['always', 'use', 'dynamic', 'tables', 'works', 'fine', 'never', 'need', 'pivot', 'ok', 'mean', 'dynamic', 'tables', 'almost', 'everything']","['alway', 'use', 'dynam', 'tabl', 'work', 'fine', 'never', 'need', 'pivot', 'ok', 'mean', 'dynam', 'tabl', 'almost', 'everyth']","['always', 'use', 'dynamic', 'table', 'work', 'fine', 'never', 'need', 'pivot', 'ok', 'mean', 'dynamic', 'table', 'almost', 'everything']","હું હંમેશા ગતિશીલ કોષ્ટકોનો ઉપયોગ કરું છું અને તે સારું કામ કરે છે, અને મને ક્યારેય જરૂર નથી (pivot t), તે ઠીક છે? મારો મતલબ, ગતિશીલ કોષ્ટકો લગભગ બધું જ કરે છે","I always use dynamic tables and it works fine, and I never need (pivot T), is that ok? I mean, dynamic tables do almost everything"
Walter White bought your courses for data analysis!!!,walter white bought your courses for data analysis!!!,"['walter', 'white', 'bought', 'your', 'courses', 'for', 'data', 'analysis', '!', '!', '!']","['walter', 'white', 'bought', 'your', 'courses', 'for', 'data', 'analysis']","['walter', 'white', 'bought', 'courses', 'data', 'analysis']","['walter', 'white', 'bought', 'cours', 'data', 'analysi']","['walter', 'white', 'bought', 'course', 'data', 'analysis']",વોલ્ટર વ્હાઇટે ડેટા એનાલિસિસ માટે તમારા અભ્યાસક્રમો ખરીદ્યા!!!,Walter White bought your courses for data analysis!!!
But only available for 365,but only available for 365,"['but', 'only', 'available', 'for', '365']","['but', 'only', 'available', 'for', '365']","['available', '365']","['avail', '365']","['available', '365']",પરંતુ ફક્ત 365 માટે ઉપલબ્ધ છે,But only available for 365
"So cool, thanks Leila.  Can&#39;t wait to get this feature!","so cool, thanks leila.  can&#39;t wait to get this feature!","['so', 'cool', ',', 'thanks', 'leila', '.', 'can', '&', '#', '39', ';', 't', 'wait', 'to', 'get', 'this', 'feature', '!']","['so', 'cool', 'thanks', 'leila', 'can', '39', 't', 'wait', 'to', 'get', 'this', 'feature']","['cool', 'thanks', 'leila', '39', 'wait', 'get', 'feature']","['cool', 'thank', 'leila', '39', 'wait', 'get', 'featur']","['cool', 'thanks', 'leila', '39', 'wait', 'get', 'feature']","ખૂબ સરસ, આભાર લીલા. આ સુવિધા મેળવવા માટે રાહ જોઈ શકતો નથી!","So cool, thanks Leila.  Can&#39;t wait to get this feature!"
"That&#39;s amazing Leila! Really can&#39;t wait to have this soon, and as usual you did what you EXCEL at; your way of explaining in the most simple yet effective manner! No wonder, you won an award at Global Excel Summit for all your great work!  Keep growing!🙂","that&#39;s amazing leila! really can&#39;t wait to have this soon, and as usual you did what you excel at; your way of explaining in the most simple yet effective manner! no wonder, you won an award at global excel summit for all your great work!  keep growing!🙂","['that', '&', '#', '39', ';', 's', 'amazing', 'leila', '!', 'really', 'can', '&', '#', '39', ';', 't', 'wait', 'to', 'have', 'this', 'soon', ',', 'and', 'as', 'usual', 'you', 'did', 'what', 'you', 'excel', 'at', ';', 'your', 'way', 'of', 'explaining', 'in', 'the', 'most', 'simple', 'yet', 'effective', 'manner', '!', 'no', 'wonder', ',', 'you', 'won', 'an', 'award', 'at', 'global', 'excel', 'summit', 'for', 'all', 'your', 'great', 'work', '!', 'keep', 'growing', '!', '🙂']","['that', '39', 's', 'amazing', 'leila', 'really', 'can', '39', 't', 'wait', 'to', 'have', 'this', 'soon', 'and', 'as', 'usual', 'you', 'did', 'what', 'you', 'excel', 'at', 'your', 'way', 'of', 'explaining', 'in', 'the', 'most', 'simple', 'yet', 'effective', 'manner', 'no', 'wonder', 'you', 'won', 'an', 'award', 'at', 'global', 'excel', 'summit', 'for', 'all', 'your', 'great', 'work', 'keep', 'growing']","['39', 'amazing', 'leila', 'really', '39', 'wait', 'soon', 'usual', 'excel', 'way', 'explaining', 'simple', 'yet', 'effective', 'manner', 'wonder', 'award', 'global', 'excel', 'summit', 'great', 'work', 'keep', 'growing']","['39', 'amaz', 'leila', 'realli', '39', 'wait', 'soon', 'usual', 'excel', 'way', 'explain', 'simpl', 'yet', 'effect', 'manner', 'wonder', 'award', 'global', 'excel', 'summit', 'great', 'work', 'keep', 'grow']","['39', 'amazing', 'leila', 'really', '39', 'wait', 'soon', 'usual', 'excel', 'way', 'explaining', 'simple', 'yet', 'effective', 'manner', 'wonder', 'award', 'global', 'excel', 'summit', 'great', 'work', 'keep', 'growing']","તે અદ્ભુત લીલા છે! ખરેખર આ જલ્દીથી થવાની રાહ જોઈ શકતા નથી, અને હંમેશની જેમ તમે જે કર્યું તે તમે કર્યું; સૌથી સરળ છતાં અસરકારક રીતે સમજાવવાની તમારી રીત! કોઈ આશ્ચર્ય નથી, તમે તમારા બધા મહાન કાર્ય માટે ગ્લોબલ એક્સેલ સમિટમાં એવોર્ડ જીત્યો! વધતા રહો!🙂","That&#39;s amazing Leila! Really can&#39;t wait to have this soon, and as usual you did what you EXCEL at; your way of explaining in the most simple yet effective manner! No wonder, you won an award at Global Excel Summit for all your great work!  Keep growing!:slightly_smiling_face:"
"Wow, this is so cool. It feels like big lifeline to Pivot Tables.","wow, this is so cool. it feels like big lifeline to pivot tables.","['wow', ',', 'this', 'is', 'so', 'cool', '.', 'it', 'feels', 'like', 'big', 'lifeline', 'to', 'pivot', 'tables', '.']","['wow', 'this', 'is', 'so', 'cool', 'it', 'feels', 'like', 'big', 'lifeline', 'to', 'pivot', 'tables']","['wow', 'cool', 'feels', 'like', 'big', 'lifeline', 'pivot', 'tables']","['wow', 'cool', 'feel', 'like', 'big', 'lifelin', 'pivot', 'tabl']","['wow', 'cool', 'feel', 'like', 'big', 'lifeline', 'pivot', 'table']","વાહ, આ ખૂબ સરસ છે. તે પિવોટ કોષ્ટકો માટે મોટી જીવનરેખા જેવું લાગે છે.","Wow, this is so cool. It feels like big lifeline to Pivot Tables."
"Ok, a little longer and we&#39;ll have power bi in Excel :)","ok, a little longer and we&#39;ll have power bi in excel :)","['ok', ',', 'a', 'little', 'longer', 'and', 'we', '&', '#', '39', ';', 'll', 'have', 'power', 'bi', 'in', 'excel', ':', ')']","['ok', 'a', 'little', 'longer', 'and', 'we', '39', 'll', 'have', 'power', 'bi', 'in', 'excel']","['ok', 'little', 'longer', '39', 'power', 'bi', 'excel']","['ok', 'littl', 'longer', '39', 'power', 'bi', 'excel']","['ok', 'little', 'longer', '39', 'power', 'bi', 'excel']","ઠીક છે, થોડું લાંબું અને આપણી પાસે એક્સેલમાં પાવર બાય હશે:)","Ok, a little longer and we&#39;ll have power bi in Excel :)"
Excellent video Leila <br><br>I will add lot of value with custom DATA TYPES 😀 🎉,excellent video leila <br><br>i will add lot of value with custom data types 😀 🎉,"['excellent', 'video', 'leila', '<', 'br', '>', '<', 'br', '>', 'i', 'will', 'add', 'lot', 'of', 'value', 'with', 'custom', 'data', 'types', '😀', '🎉']","['excellent', 'video', 'leila', 'br', 'br', 'i', 'will', 'add', 'lot', 'of', 'value', 'with', 'custom', 'data', 'types']","['excellent', 'video', 'leila', 'br', 'br', 'add', 'lot', 'value', 'custom', 'data', 'types']","['excel', 'video', 'leila', 'br', 'br', 'add', 'lot', 'valu', 'custom', 'data', 'type']","['excellent', 'video', 'leila', 'br', 'br', 'add', 'lot', 'value', 'custom', 'data', 'type']",ઉત્તમ વિડિઓ લીલા <br><br>હું કસ્ટમ ડેટા પ્રકારો સાથે ઘણું મૂલ્ય ઉમેરીશ 😀 🎉,Excellent video Leila <br><br>I will add lot of value with custom DATA TYPES :grinning_face: :party_popper:
"Very nice video, but a super tip at the end, thanks alot teacher","very nice video, but a super tip at the end, thanks alot teacher","['very', 'nice', 'video', ',', 'but', 'a', 'super', 'tip', 'at', 'the', 'end', ',', 'thanks', 'alot', 'teacher']","['very', 'nice', 'video', 'but', 'a', 'super', 'tip', 'at', 'the', 'end', 'thanks', 'alot', 'teacher']","['nice', 'video', 'super', 'tip', 'end', 'thanks', 'alot', 'teacher']","['nice', 'video', 'super', 'tip', 'end', 'thank', 'alot', 'teacher']","['nice', 'video', 'super', 'tip', 'end', 'thanks', 'alot', 'teacher']","ખૂબ સરસ વિડિઓ, પરંતુ અંતે એક સુપર ટીપ, ખૂબ ખૂબ આભાર શિક્ષક","Very nice video, but a super tip at the end, thanks alot teacher"
"Very much a welcome addition, this!<br><br>With regards to data types, I just remembered they removed Wolfram Data Types on 11 June 2023.","very much a welcome addition, this!<br><br>with regards to data types, i just remembered they removed wolfram data types on 11 june 2023.","['very', 'much', 'a', 'welcome', 'addition', ',', 'this', '!', '<', 'br', '>', '<', 'br', '>', 'with', 'regards', 'to', 'data', 'types', ',', 'i', 'just', 'remembered', 'they', 'removed', 'wolfram', 'data', 'types', 'on', '11', 'june', '2023', '.']","['very', 'much', 'a', 'welcome', 'addition', 'this', 'br', 'br', 'with', 'regards', 'to', 'data', 'types', 'i', 'just', 'remembered', 'they', 'removed', 'wolfram', 'data', 'types', 'on', '11', 'june', '2023']","['much', 'welcome', 'addition', 'br', 'br', 'regards', 'data', 'types', 'remembered', 'removed', 'wolfram', 'data', 'types', '11', 'june', '2023']","['much', 'welcom', 'addit', 'br', 'br', 'regard', 'data', 'type', 'rememb', 'remov', 'wolfram', 'data', 'type', '11', 'june', '2023']","['much', 'welcome', 'addition', 'br', 'br', 'regard', 'data', 'type', 'remembered', 'removed', 'wolfram', 'data', 'type', '11', 'june', '2023']","ખૂબ જ આવકાર્ય ઉમેરો, આ!<br><br>ડેટા પ્રકારોના સંદર્ભમાં, મને હમણાં જ યાદ આવ્યું કે તેઓએ 11 જૂન 2023 ના રોજ વોલ્ફ્રેમ ડેટા પ્રકારો દૂર કર્યા હતા.","Very much a welcome addition, this!<br><br>With regards to data types, I just remembered they removed Wolfram Data Types on 11 June 2023."
"Holy shit, I was just thinking about this yesterday!","holy shit, i was just thinking about this yesterday!","['holy', 'shit', ',', 'i', 'was', 'just', 'thinking', 'about', 'this', 'yesterday', '!']","['holy', 'shit', 'i', 'was', 'just', 'thinking', 'about', 'this', 'yesterday']","['holy', 'shit', 'thinking', 'yesterday']","['holi', 'shit', 'think', 'yesterday']","['holy', 'shit', 'thinking', 'yesterday']","અરે વાહ, હું ગઈકાલે જ આ વિશે વિચારી રહ્યો હતો!","Holy shit, I was just thinking about this yesterday!"
Well updated.......,well updated.......,"['well', 'updated', '.......']","['well', 'updated']","['well', 'updated']","['well', 'updat']","['well', 'updated']",સારી રીતે અપડેટ થયેલ છે.......,Well updated.......
"My only comment would be...<br><a href=""https://youtu.be/WNrB1Q9Rry0?t=497"">https://youtu.be/WNrB1Q9Rry0?t=497</a>","my only comment would be...<br><a href=""https://youtu.be/wnrb1q9rry0?t=497"">https://youtu.be/wnrb1q9rry0?t=497</a>","['my', 'only', 'comment', 'would', 'be', '...', '<', 'br', '>', '<', 'a', 'href=', ""''"", 'https', ':', '//youtu.be/wnrb1q9rry0', '?', 't=497', ""''"", '>', 'https', ':', '//youtu.be/wnrb1q9rry0', '?', 't=497', '<', '/a', '>']","['my', 'only', 'comment', 'would', 'be', 'br', 'a', 'https', 'https']","['comment', 'would', 'br', 'https', 'https']","['comment', 'would', 'br', 'http', 'http']","['comment', 'would', 'br', 'http', 'http']","મારી એકમાત્ર ટિપ્પણી હશે...<br><a href=""https://youtu.be/wnrb1q9rry0?t=497"">https://youtu.be/wnrb1q9rry0?t=497</a>","My only comment would be...<br><a href=""https://youtu.be/WNrB1Q9Rry0?t=497"">https://youtu.be/WNrB1Q9Rry0?t=497</a>"
"Love it! <a href=""about:invalid#zCSafez""></a>","love it! <a href=""about:invalid#zcsafez""></a>","['love', 'it', '!', '<', 'a', 'href=', ""''"", 'about', ':', 'invalid', '#', 'zcsafez', ""''"", '>', '<', '/a', '>']","['love', 'it', 'a', 'about', 'invalid', 'zcsafez']","['love', 'invalid', 'zcsafez']","['love', 'invalid', 'zcsafez']","['love', 'invalid', 'zcsafez']","તેને પ્રેમ કરો! <a href=""about:invalid#zcsafez""></a>","Love it! <a href=""about:invalid#zCSafez""></a>"
I don&#39;t fly in a jet stream where I need country flags ... but Client logo&#39;s might be a clever idea ... rather than displaying a lengthy client name repeatedly. <br><br>Which is precisely why &quot;Thursdays With Leila&#39; is always a &#39;must watch&#39; for me  ... ideas ... ideas ... ideas!!! ...  🤔 ... 💡💡💡💡<br><br>😍😍😍😍 ... thank you ... thank you ... thank you ...,i don&#39;t fly in a jet stream where i need country flags ... but client logo&#39;s might be a clever idea ... rather than displaying a lengthy client name repeatedly. <br><br>which is precisely why &quot;thursdays with leila&#39; is always a &#39;must watch&#39; for me  ... ideas ... ideas ... ideas!!! ...  🤔 ... 💡💡💡💡<br><br>😍😍😍😍 ... thank you ... thank you ... thank you ...,"['i', 'don', '&', '#', '39', ';', 't', 'fly', 'in', 'a', 'jet', 'stream', 'where', 'i', 'need', 'country', 'flags', '...', 'but', 'client', 'logo', '&', '#', '39', ';', 's', 'might', 'be', 'a', 'clever', 'idea', '...', 'rather', 'than', 'displaying', 'a', 'lengthy', 'client', 'name', 'repeatedly', '.', '<', 'br', '>', '<', 'br', '>', 'which', 'is', 'precisely', 'why', '&', 'quot', ';', 'thursdays', 'with', 'leila', '&', '#', '39', ';', 'is', 'always', 'a', '&', '#', '39', ';', 'must', 'watch', '&', '#', '39', ';', 'for', 'me', '...', 'ideas', '...', 'ideas', '...', 'ideas', '!', '!', '!', '...', '🤔', '...', '💡💡💡💡', '<', 'br', '>', '<', 'br', '>', '😍😍😍😍', '...', 'thank', 'you', '...', 'thank', 'you', '...', 'thank', 'you', '...']","['i', 'don', '39', 't', 'fly', 'in', 'a', 'jet', 'stream', 'where', 'i', 'need', 'country', 'flags', 'but', 'client', 'logo', '39', 's', 'might', 'be', 'a', 'clever', 'idea', 'rather', 'than', 'displaying', 'a', 'lengthy', 'client', 'name', 'repeatedly', 'br', 'br', 'which', 'is', 'precisely', 'why', 'quot', 'thursdays', 'with', 'leila', '39', 'is', 'always', 'a', '39', 'must', 'watch', '39', 'for', 'me', 'ideas', 'ideas', 'ideas', 'br', 'br', 'thank', 'you', 'thank', 'you', 'thank', 'you']","['39', 'fly', 'jet', 'stream', 'need', 'country', 'flags', 'client', 'logo', '39', 'might', 'clever', 'idea', 'rather', 'displaying', 'lengthy', 'client', 'name', 'repeatedly', 'br', 'br', 'precisely', 'quot', 'thursdays', 'leila', '39', 'always', '39', 'must', 'watch', '39', 'ideas', 'ideas', 'ideas', 'br', 'br', 'thank', 'thank', 'thank']","['39', 'fli', 'jet', 'stream', 'need', 'countri', 'flag', 'client', 'logo', '39', 'might', 'clever', 'idea', 'rather', 'display', 'lengthi', 'client', 'name', 'repeatedli', 'br', 'br', 'precis', 'quot', 'thursday', 'leila', '39', 'alway', '39', 'must', 'watch', '39', 'idea', 'idea', 'idea', 'br', 'br', 'thank', 'thank', 'thank']","['39', 'fly', 'jet', 'stream', 'need', 'country', 'flag', 'client', 'logo', '39', 'might', 'clever', 'idea', 'rather', 'displaying', 'lengthy', 'client', 'name', 'repeatedly', 'br', 'br', 'precisely', 'quot', 'thursday', 'leila', '39', 'always', '39', 'must', 'watch', '39', 'idea', 'idea', 'idea', 'br', 'br', 'thank', 'thank', 'thank']","હું જેટ સ્ટ્રીમમાં ઉડતો નથી જ્યાં મને દેશના ફ્લેગની જરૂર હોય... પરંતુ ક્લાયન્ટનો લોગો એક ચપળ વિચાર હોઈ શકે છે... વારંવાર લાંબી ક્લાયન્ટનું નામ પ્રદર્શિત કરવાને બદલે. <br><br>જે ચોક્કસપણે શા માટે ""લીલા સાથેના ગુરુવાર"" હંમેશા મારા માટે 'જોવું જોઈએ' છે... વિચારો ... વિચારો ... વિચારો!!! ...🤔...<br><br>આભાર💡💡💡💡😍😍😍😍... આભાર ... આભાર... આભાર ... આભાર ...",I don&#39;t fly in a jet stream where I need country flags ... but Client logo&#39;s might be a clever idea ... rather than displaying a lengthy client name repeatedly. <br><br>Which is precisely why &quot;Thursdays With Leila&#39; is always a &#39;must watch&#39; for me  ... ideas ... ideas ... ideas!!! ...  :thinking_face: ... :light_bulb::light_bulb::light_bulb::light_bulb:<br><br>:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: ... thank you ... thank you ... thank you ...
"Thanks ma,am,","thanks ma,am,","['thanks', 'ma', ',', 'am', ',']","['thanks', 'ma', 'am']",['thanks'],['thank'],['thanks'],"આભાર મા,હું,","Thanks ma,am,"
"Leila, is AI taking our jobs away...?","leila, is ai taking our jobs away...?","['leila', ',', 'is', 'ai', 'taking', 'our', 'jobs', 'away', '...', '?']","['leila', 'is', 'ai', 'taking', 'our', 'jobs', 'away']","['leila', 'ai', 'taking', 'jobs', 'away']","['leila', 'ai', 'take', 'job', 'away']","['leila', 'ai', 'taking', 'job', 'away']","લીલા, શું એ આપણી નોકરી છીનવી રહી છે...?","Leila, is AI taking our jobs away...?"
